照片編號,照片圖說 (填寫於此)
"harry_01",""
"harry_02",""
"harry_03",""
"harry_04",""
"harry_05",""
"harry_06",""
"harry_07",""
"harry_08",""
"harry_09",""
"harry_10",""
"harry_11",""
"harry_12",""
"harry_13",""
"harry_14",""
"harry_15",""
"harry_16",""
"harry_17",""
"harry_18",""
"harry_19",""
"harry_20",""
"harry_21",""
"harry_22",""
"harry_23",""
"harry_24",""
"harry_25",""
"harry_26",""
"harry_27",""
"harry_28",""
"harry_29",""
"harry_30",""
"harry_31",""
"harry_32",""
"harry_33",""
"harry_34",""
"harry_35",""
"harry_36",""
"harry_37",""
"harry_38",""
"ihsin_01",""
"ihsin_02",""
"ihsin_03",""
"ihsin_04",""
"ihsin_05",""
"ihsin_06",""
"ihsin_07",""
"ihsin_08",""
"ihsin_09",""
"ihsin_10",""
"ihsin_11",""
"ihsin_12",""
"ihsin_13",""
"ihsin_14",""
"ihsin_15",""
"ihsin_16",""
"ihsin_17",""
"ihsin_18",""
"ihsin_19",""
"ihsin_20",""
"ihsin_21",""
"ihsin_22",""
"ihsin_23",""
"ihsin_24",""
"ihsin_25",""
"ihsin_26",""
"tw_01",""
"tw_02",""
"tw_03",""
"tw_04",""
"tw_05",""
"tw_06",""
"tw_07",""
"tw_08",""
"tw_09",""
"tw_10",""
"tw_11",""
"tw_12",""
"tw_13",""
"tw_14",""
"tw_15",""
"tw_16",""
"tw_17",""
"tw_18",""
"tw_19",""
"tw_20",""
"tw_21",""
"tw_22",""
"tw_23",""
"tw_24",""
"tw_25",""
"tw_26",""
"tw_27",""
"tw_28",""
"tw_29",""
"tw_30",""
"tw_31",""
"tw_32",""
"jp_01",""
"jp_02",""
"jp_03",""
"jp_04",""
"jp_05",""
"jp_06",""
"jp_07",""
"jp_08",""
"jp_09",""
"jp_10",""
"jp_11",""
"jp_12",""
"jp_13",""
"jp_14",""
"jp_15",""
"jp_16",""
"jp_17",""
"jp_18",""
"jp_19",""
"jp_20",""
"jp_21",""
"jp_22",""
"jp_23",""
"jp_24",""
"jp_25",""
"jp_26",""
"jp_27",""
"jp_28",""
"ph_01",""
"ph_02",""
"ph_03",""
"ph_04",""
"ph_05",""
"ph_06",""
"ph_07",""
"ph_08",""
"ph_09",""
"ph_10",""
"ph_11",""
"ph_12",""
"ph_13",""
"ph_14",""
"ph_15",""
"ph_16",""
"ph_17",""
"music_01",""
"music_02",""
"music_03",""
"music_04",""
"music_05",""
"music_06",""
"music_07",""
"music_08",""
"music_09",""
"music_10",""
"music_11",""
"music_12",""
"music_13",""
"music_14",""
"music_15",""
"music_16",""
"music_17",""
"music_18",""
"music_19",""
"music_20",""
"music_21",""
"music_22",""
"daily_01","玥光結婚啦！第一次當總召的我們。"
"daily_02","誠哥兒童節慶生"
"daily_03","吳聊夫妻結婚時，誠哥還當很罩司機"
"daily_04","輪流拖著宜靜完成日月潭泳渡"
"daily_05","下水前"
"daily_06","第一次也是最後一次兩人一起Pokémon Go！"
"daily_07","Line 家庭日"
"daily_08","交往第一年看起來比較甜蜜"
"daily_09","說好的每年馬拉松？"
"daily_10","誠品關門紀念一下"
"daily_11","不知道到底在排什麼只記得熱爆"
"daily_12","誠哥研究所好友台南遊"
"daily_13","Line家庭日巨蛋看棒球with 宜靜"
"daily_14","到檔案館被催婚"
"daily_15","跟葉家吃飯，誠哥說他不知道吃了什麼"
"daily_16","101慶生"
"daily_17","沒事就去松菸散步"
"daily_18","又是泳渡"
"daily_19","短暫的台南日常"
"daily_20","阿噗30歲生日"
"daily_21","在音樂季與誠哥同事"
"daily_22","哥課長婚禮"
"daily_23","一駿那天被誠哥潑整身脾酒，至今仍無法確定是否故意？"
"daily_24","剛交往假裝喜歡寶可夢"
"daily_25","喜歡露營"
"daily_26","史前博物館南科館合照"
"daily_27","交往前故宮約會被跟蹤，盡責的媒人，葉爸媽很放心"
"daily_28","饕家聚會"
"daily_29","中山堂約會"
"daily_30","帶一駿出去玩"
"daily_31","最喜歡"
"daily_32","家人聚"
"daily_33","美人魚哥"
"daily_34",""
"daily_35",""
"promise_01",""
"promise_02",""
"promise_03",""
"promise_04",""
"promise_05",""
"promise_06",""
"beauty_01",""
"beauty_02",""
"beauty_03",""
"beauty_04",""
"beauty_05",""
"beauty_06",""
"beauty_07",""
"beauty_08",""
"beauty_09",""
"beauty_10",""
"beauty_11",""
"beauty_12",""
"beauty_13",""
"beauty_14",""
"beauty_15",""
"beauty_16",""
"beauty_17",""
"beauty_18",""
"beauty_19",""
"beauty_20",""
"beauty_21",""
"beauty_22",""
"beauty_23",""
"beauty_24",""
"beauty_25",""
"beauty_26",""
"beauty_27",""
"forest_01","合歡北峰 | 3422m"
"forest_02","奇萊南華 | 3134m"
"forest_03","北德拉曼山 | 1749m"
"forest_04","台電雲海保線所 | 2360m"
"forest_05","油羅山 | 1764m"
"forest_06","塔曼山 | 2130m"
"forest_07","稍來山 | 2307m"
"forest_08","池有山 | 3303m"
"forest_09","加里山 | 2220m"
"forest_10","富士山 | 3776m"
"forest_11","大霸尖山 | 3492m"
"forest_12","伊澤山 | 3297m"
"forest_13","池有山石瀑 | 3100m"
"forest_14","加利山 | 3112m"
"forest_15","品田山| 3524m"
"forest_16","富士山 劍鋒 | 3776m"
"forest_17","富士山 山腰 | 2400m"
"forest_18","富士山 天拜宮 | 3250m"
"forest_19","雪山東峰 | 3201m"
"forest_20","武陵登山口 | 1890m"
"forest_21","雪山哭坡 | 3000m"
"forest_22","雪山主峰 | 3886m"
"forest_23","雪山圈谷 | 3500m"
"forest_24","東卯山 | 1690m"
"forest_25","七星山 | 1120m"
"forest_26","合歡西峰 | 3145m"
